codigo_departamento,codigo_dpto_mpio,codigo_centro_poblado,nombre_departamento,nombre_municipio,nombre_centro_poblado,nombre_tipo_ctro_pbdo,longitud,latitud,nombre_distrito,tipo_municipio,nombre_area_metro
"05","05079","05079023","ANTIOQUIA","BARBOSA","TAMBORCITO","CENTRO POBLADO","-75.3118172487","6.45162296493","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05086","05086000","ANTIOQUIA","BELMIRA","BELMIRA","CABECERA MUNICIPAL","-75.6673741337","6.60615950206","","MUNICIPIO","",
"05","05086","05086001","ANTIOQUIA","BELMIRA","LABORES","CENTRO POBLADO","-75.6125074885","6.70979827577","","MUNICIPIO","",
"05","05086","05086003","ANTIOQUIA","BELMIRA","RIO ARRIBA","CENTRO POBLADO","-75.6718134409","6.61333788434","","MUNICIPIO","",
"05","05088","05088000","ANTIOQUIA","BELLO","BELLO","CABECERA MUNICIPAL","-75.554665073","6.33406883641","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05088","05088008","ANTIOQUIA","BELLO","POTRERITO","CENTRO POBLADO","-75.581125268","6.3312888548","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05088","05088013","ANTIOQUIA","BELLO","SAN FELIX","CENTRO POBLADO","-75.6084047301","6.34050176165","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05088","05088018","ANTIOQUIA","BELLO","EL PINAR","CENTRO POBLADO","-75.5300875134","6.30109156213","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05088","05088020","ANTIOQUIA","BELLO","EL ALBERGUE","CENTRO POBLADO","-75.5364638929","6.30706186441","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05088","05088022","ANTIOQUIA","BELLO","LA CHINA","CENTRO POBLADO","-75.6147136307","6.39812777328","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05088","05088023","ANTIOQUIA","BELLO","LA UNION","CENTRO POBLADO","-75.6212252215","6.38243035338","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05091","05091000","ANTIOQUIA","BETANIA","BETANIA","CABECERA MUNICIPAL","-75.97554408","5.74474717984","","MUNICIPIO","",
"05","05091","05091003","ANTIOQUIA","BETANIA","SAN LUIS","CENTRO POBLADO","-75.9864233146","5.75350036855","","MUNICIPIO","",
"05","05093","05093000","ANTIOQUIA","BETULIA","BETULIA","CABECERA MUNICIPAL","-75.9845158732","6.11525559427","","MUNICIPIO","",
"05","05093","05093001","ANTIOQUIA","BETULIA","ALTAMIRA","CENTRO POBLADO","-75.94924713","6.21965697959","","MUNICIPIO","",
